2012-03-31 12:14:12,611 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /test/src/test/resources
2012-03-31 12:14:14,738 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-31 12:14:14,995 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:14:14,996 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-31 12:14:15,034 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:14:15,035 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-31 12:14:47,098 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-31 12:14:47,250 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /test/src/main/java
2012-03-31 12:14:47,251 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /test/src/main/resources
2012-03-31 12:14:47,251 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /test/src/test/java
2012-03-31 12:14:47,252 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /test/src/test/resources
2012-03-31 12:14:47,886 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-31 12:14:48,123 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:14:48,124 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-31 12:14:48,176 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:14:48,177 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-31 12:14:48,178 [Worker-28] INFO  o.m.i.e.w.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of test
2012-03-31 12:14:48,187 [Worker-28] INFO  o.m.i.e.w.f.ResourceFilteringBuildParticipant - Executing resource filtering for test
2012-03-31 12:14:48,196 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:14:54,605 [Worker-40] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-31 12:14:54,798 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /test/src/main/java
2012-03-31 12:14:54,799 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /test/src/main/resources
2012-03-31 12:14:54,799 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /test/src/test/java
2012-03-31 12:14:54,799 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /test/src/test/resources
2012-03-31 12:14:55,170 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-31 12:14:55,447 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:14:55,448 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-31 12:14:55,451 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:14:55,452 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-31 12:14:55,453 [Worker-28] INFO  o.m.i.e.w.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of test
2012-03-31 12:14:55,453 [Worker-28] INFO  o.m.i.e.w.f.ResourceFilteringBuildParticipant - Executing resource filtering for test
2012-03-31 12:14:55,465 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:15:46,101 [Worker-41] INFO  o.e.m.c.u.i.UpdateConfigurationJob - Update started
2012-03-31 12:15:46,117 [Worker-41] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-31 12:15:46,265 [Worker-41] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /test/src/main/java
2012-03-31 12:15:46,265 [Worker-41] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /test/src/main/resources
2012-03-31 12:15:46,265 [Worker-41] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /test/src/test/java
2012-03-31 12:15:46,266 [Worker-41] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /test/src/test/resources
2012-03-31 12:15:46,345 [Worker-41] INFO  o.e.m.c.u.i.UpdateConfigurationJob - Update completed: 0 sec
2012-03-31 12:15:46,544 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-31 12:15:46,723 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:15:46,724 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-31 12:15:46,729 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:15:46,730 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-31 12:15:46,731 [Worker-28] INFO  o.m.i.e.w.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of test
2012-03-31 12:15:46,731 [Worker-28] INFO  o.m.i.e.w.f.ResourceFilteringBuildParticipant - Executing resource filtering for test
2012-03-31 12:15:46,736 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:15:56,218 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-31 12:15:56,538 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:15:56,539 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2012-03-31 12:15:56,540 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-31 12:15:56,541 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2012-03-31 12:15:59,702 [New I/O client worker #3-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo1.maven.org/maven2/org/springframework/spring-context/3.1.0.RELEASE/spring-context-3.1.0.RELEASE-sources.jar
2012-03-31 12:16:09,728 [New I/O client worker #3-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo1.maven.org/maven2/org/springframework/spring-context/3.1.0.RELEASE/spring-context-3.1.0.RELEASE-sources.jar
2012-03-31 12:16:10,137 [Worker-35] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for org.springframework:spring-context:3.1.0.RELEASE
